sozum,anlami,anahtar,turu2,kategori
(bir şeyi) kendi hâlinde bırakmak,"üzerinde çalışmayarak geliştirmemek veya bakımsız bırakmak, işlememek:<i> 'Nasıl çalışmayan küf tutarsa bir müessese de gençleştirilmez, kendi hâlinde bırakılırsa ihtiyarlar, yıkılır, dağılır.' -</i>Ö. Seyfettin.",kendi hâlinde,Deyim,4
"(bir şeyi, kendini) siper etmek",1) kendini veya bir şeyi korumak amacıyla bir başka şeyi siper olarak kullanmak:<i> 'Tuğla harmanındaki ameleler durup ellerini gözlerine siper ederek etrafı aradılar.' -</i>S. F. Abasıyanık. 2) bir şey veya bir kimse için kendini tehlikeye atmak:<i> 'Siper ederek etrafı aradılar.' -</i>S. F. Abasıyanık.,siper,Deyim,4
(bir şeyi) kir götürmek,bir şey çok kirli olmak.,kir,Deyim,9
(bir şeyi) kitaba (kitabına) uydurmak,"yasal olmayan bir işi hile, düzen vb. ile kanuna uygun gibi göstermek:<i> 'Müfettiş Bey güldü ama babacan gülüşü değildi bu; tam tersine, işini kitaba uydurmuşların güveni vardı onda.' -</i>T. Buğra.",kitap,Deyim,4
(bir şeyi) kuvveden fiile çıkarmak,"düşünülen, tasarlanan şeyi gerçekleştirmek.",kuvve,Deyim,4
(bir şeyi) masaya yatırmak,"bir konuyu, olayı enine boyuna araştırmak.",masa,Deyim,4
"(bir şeyi) maymuna benzetmek (çevirmek, döndürmek)",gülünç ve çirkin duruma sokmak.,maymun,Deyim,4
(bir şeyi) mesele yapmak,önemsiz bir şeyi önemli bir sorun durumuna getirmek:<i> 'Orada kimseyi kıskanmamışken bu sonuncu kumasını büyük mesele yaptı.' -</i>R. Erduran.,mesele,Deyim,4
(bir şeyi) meslek edinmek,1) bir işi meslek olarak yapacak bilgi ve beceriyi kazanmak; 2)<i> mec.</i> bir şeyi yapmayı alışkanlık hâline getirmek.,meslek,Deyim,4
(bir şeyi) nefsine yedirememek,"bir şey yapmayı kendisi için ağır, onur kırıcı bulmak:<i> 'Riyakârlığı da bir türlü nefsine yediremiyordu.' -</i>S. F. Abasıyanık.",nefis(I),Deyim,4
(bir şeyi) rafa koymak (kaldırmak),"savsamak, artık üstünde durmamak, ihmal etmek:<i> 'Anayasayı rafa kaldırarak keyfî, gelişigüzel sınırlar çizmeye kalkışmak, bu yaygaraları koparanların başlıca özelliğidir.' -</i>N. Cumalı.",raf,Deyim,6
(bir şeyi) sağlam kazığa bağlamak,"işin sonuçlanmasına engel olacak şeyleri ortadan kaldırmak, işin aksamadan yürümesini sağlayacak önlemleri almak.",sağlam,Deyim,7
(bir şeyi) sağlama bağlamak,sağlam kazığa bağlamak.,sağlam,Deyim,4
(bir şeyi) sokaktan toplamak,"kolayca sağlamak, masrafsız ve zahmetsiz elde etmek:<i> 'Baban parayı sokaktan topluyordu.' -</i>M. Ş. Esendal.",sokak,Deyim,6
(bir şeyi) söz etmek,o şeyin dedikodusunu yapmak.,söz,Deyim,6
(bir şeyi) zihnine yerleştirmek,unutulmayacak biçimde aklında tutmak.,zihin,Deyim,4
(bir şeyi) zimmetine geçirmek,emanet edilmiş para veya eşyayı kendine mal etmek.,zimmet,Deyim,6
(bir şeyin) acısı çıkmak,"bir şeyin olumsuz, kötü sonucu bir süre sonra ortaya çıkmak:<i> Dünkü yorgunluğun acısı bugün çıktı.</i>",acı,Deyim,4
(bir şeyin) altına imza atmak,destek vermek amacıyla aynı düşüncede olduğunu göstermek.,alt,Deyim,4
(bir şeyin) altında kalmak,"1) ezilmek:<i> 'Bir şey değil, karşıdan bir otomobil filan gelir de altında kalırım diye korktum.' -</i>B. Felek. 2)<i> mec.</i> karşılığını verememek.",alt,Deyim,4
(bir şeyin) altını kapatmak,ocağın alevini kapatmak:<i> 'Fokurdamaya başlayan çaydanlığın altını kapadı.' -</i>H. Taner.,alt,Deyim,4
(bir şeyin) altını kısmak,ocağın alevini azaltmak.,alt,Deyim,4
(bir şeyin) aması var,'herkesin bilmediği sakıncası veya kusurları var' anlamında kullanılan bir söz.,ama,Deyim,3
(bir şeyin) arkası gelmek,"devamlı olmak, sürekli olmak.",arka,Deyim,1
(bir şeyin) arkası kesilmek,"tükenmek, son bulmak.",arka,Deyim,4
(bir şeyin) âşığı kesilmek,"tutku durumuna getirmek:<i> 'Boks merakından çok sonra güreşe merak sardı, güreş âşığı kesildi.' -</i>H. Taner.",âşık,Deyim,9
(bir şeyin) başına geçmek,"1) görevi altında bulundurmak; 2) bir işin yönetimini ele almak; 3) bir işi yapmaya başlamak; 4) bir şeyin etrafında toplanmak, yer almak:<i> 'Adam ağır adımlarla gelip masanın başına geçiyor.' -</i>E. M. Karakurt.",baş(I),Deyim,7
(bir şeyin) başında beklemek (durmak),yanında durup gözetlemek:<i> 'Birkaç fukara köylü sabaha kadar cenazenin başında bekleyerek Kur'an okudular.' -</i>Halikarnas Balıkçısı.,baş(I),Deyim,8
(bir şeyin) başını beklemek,1) gözetlemek; 2) hastanın yanında bulunmak.,baş(I),Deyim,4
"(bir şeyin, bir kimsenin) etrafını almak (sarmak)","çevresinde toplanmak, ortaya almak, kuşatmak:<i> 'Ön arabanın karşısına geçerler, bohçacı ve yazmacı kadınların tuhaflığa vurarak etrafını alırlar.' -</i>R. H. Karay.<i> 'Herkes etrafımı sarmış, beni hararetle tebrik ediyorlardı.' -</i>N. F. Kısakürek.",etraf,Deyim,7
"(bir şeyin, bir kimsenin) üstüne üstüne gitmek","çekinmeden sonucu tehlikeli olabilecek bir şeyle uğraşmak, yılmamak.",üst,Deyim,4
"(bir şeyin, birinin) attığı tırnağa değmemek",değerce ondan çok aşağı olmak.,atmak,Deyim,5
(bir şeyin) çaresine bakmak,"gerekeni yapmak, çözüm yolu aramak:<i> 'Sıkboğaz etme çocuğum. Bir çaresine bakacağız. Ben annenle konuşurum.' -</i>M. Yesari.",çare,Deyim,4
(bir şeyin) çivisi çıkmak,"düzeni bozulmak, kargaşa içinde bulunmak:<i> 'Bu ülkenin, bu dünyanın çivisi çıkmış, ben mi çakacağım?' -</i>A. Ümit.",çivi,Deyim,8
(bir şeyin) davasını gütmek,"sürekli olarak bir konuyu savunmak veya gündemde tutmak:<i> 'Bütün edebiyatım, Tanin gazetesinin cumartesi sayılarında garpçılık davasını gütmekle geçiyor.' -</i>F. R. Atay.",dava,Deyim,4
(bir şeyin) delisi (olmak),bir şeye aşırı derecede düşkün (olmak):<i> Oyun delisi.</i>,deli,Deyim,1
(bir şeyin) derdine düşmek,yapılması gereken bir şeyi gerçekleştirmenin yollarını aramak.,dert,Deyim,4
(bir şeyin) dibi görünmek,içindeki şey tükenmek.,dip,Deyim,4
(bir şeyin) dibini boylamak,batmak:<i> Kayık denizin dibini boyladı.</i>,dip,Deyim,4
(bir şeyin) dibini bulmak,1) içindekini tüketmek; 2) aslına veya sonucuna ulaşmak:<i> 'Bu sırrı çözmeye kalkışırsan dibini bulamazsın.' -</i>N. F. Kısakürek.,dip,Deyim,8
(bir şeyin) divanesi olmak,bir şeye çok düşkün olmak.,divane,Deyim,1
(bir şeyin) dozu kaçmak,dozunu kaçırmak.,doz,Deyim,4
(bir şeyin) dümenini elinde tutmak,"yönetmek, istediği yöne doğru götürmek:<i> 'Başımıza gelenler, son elli yılda ekonominin dümenini elinde tutan sıfırlardan kaynaklanıyor.' -</i>A. Boysan.",dümen,Deyim,8
(bir şeyin) esprisi kalmamak,ilgi çekici olmaktan çıkmak.,espri,Deyim,4
(bir şeyin) eti kemiği,"esası, ana özelliği, asıl ağırlığı:<i> 'Bu iki ana renk pazar yerinin etini kemiğini teşkil ediyor.' -</i>B. R. Eyuboğlu.",et,Deyim,8
(bir şeyin) girdabına kapılmak,"etkisinde kalmak, o şeyin çekiciliğinden kurtulamamak.",girdap,Deyim,4
(bir şeyin) gözü kör olsun,<i> tkz.</i> 1) bazı zorunlu durumlarda zararı istemeyerek kabullenmeyi anlatan bir söz; 2) gereksinim duyulan şeyin yokluğunda söylenen bir söz:<i> Paranın gözü kör olsun.</i>,göz,Deyim,4
(bir şeyin) gözünü çıkarmak,"1) beceriksizce davranmak, zarara uğratmak; 2)<i> tkz.</i> iyisi dururken en kötüsünü seçmek.",göz,Deyim,4
(bir şeyin) hastası olmak,bir şeye çok düşkün olmak.,hasta,Deyim,1
(bir şeyin) içine etmek (sıçmak),"<i> kaba</i> bozup berbat etmek, içine etmek.",iç,Deyim,6
(bir şeyin) ilminden anlamak,herhangi bir şeyin uzmanı olmak:<i> 'Onun ilminden anlayan şoför seni istediği yere götürür.' -</i>Y. K. Karaosmanoğlu.,ilim,Deyim,4
(bir şeyin) izini düşürmek,iz düşümünü çıkarmak.,iz,Deyim,4
(bir şeyin) kanını emmek,"insafsızca sömürmek:<i> 'Yıllarca, yüzyıllarca onun kanını emdikten ve onu bir posa hâlinde katı toprak üzerine attıktan sonra, şimdi de gelip ondan tiksinmek hakkını kendinde buluyorsun.' -</i>Y. K. Karaosmanoğlu.",kan,Deyim,4
(bir şeyin) kaymağını almak (yemek),"bir şeyin en büyük payını, kârını ele geçirmek.",kaymak(I),Deyim,0
(bir şeyin) kefaretini ödemek,"cezasını çekmek:<i> 'O, kendisine düşen zulüm payının kefaretini ödedi.' -</i>N. F. Kısakürek.",kefaret,Deyim,8
(bir şeyin) keyfini çıkarmak,bir şeyden iyice tat almak:<i> 'Pazarın keyfini çıkarmak için saat ona doğru villanın ucu deniz kıyısına varan bahçesine çıktı.' -</i>S. Kocagöz.,keyif,Deyim,4
"(bir şeyin, kimsenin) üstüne toz kondurmamak",bir şeyin veya kimsenin kusurlu olabileceğini kabul etmemek.,üst,Deyim,4
(bir şeyin) künhüne varmak,"bir şeyin özünü, aslını anlamak.",künh,Deyim,4
(bir şeyin) makarasını çözmek,ayrıntılarıyla sayıp dökmek:<i> 'Yukarı katta ihtiyar imamla yatalak hasta karısının aşağıdan tamamıyla işitilen kavgalarına dair hikâyelerinin makarasını çözerdi.' -</i>H. Z. Uşaklıgil.,makara,Deyim,8
(bir şeyin) muhasebesini yapmak,bir şeyin olumlu veya olumsuz yönlerini gözden geçirerek bir yargıya varmak.,muhasebe,Deyim,4
(bir şeyin olmasına) kıl (kadar) kalmak,çok az kalmak.,kıl,Deyim,9
(bir şeyin) orucunda olmak,"1) herhangi bir şeyi yemez içmez olmak; 2) bir şeyi yapmaz olmak:<i> 'Ayıplama kardeş, üç gündür lakırtı orucundayım.' -</i>H. R. Gürpınar.",oruç,Deyim,1
(bir şeyin) önünü almak,önlemek:<i> 'En ucuz şekilde bu fesadın önünü almak için ne yapmak lazımsa söyleyiniz.' -</i>N. F. Kısakürek.,ön,Deyim,7
(bir şeyin) örneğini almak,biçimini çizmek.,örnek,Deyim,7
(bir şeyin) örneğini çıkarmak,benzerini yapmak veya çizmek.,örnek,Deyim,4
(bir şeyin) pençesine düşmek,yakalanmak:<i> 'Karaborsa davalarında ise bunların nüfuzları sıfırdan aşağıdır çünkü bu hususta birçoğu Millî Korunma'nın pençesine düşmeye namzettir.' -</i>H. E. Adıvar.,pençe,Deyim,8
(bir şeyin) rezili çıkmak,"çok eskimek, bozulmak, parçalanmak:<i> 'Şu gömleğe bak, rezili çıkmış!' -</i>Ç. Altan.",rezil,Deyim,9
(bir şeyin) sınırlarını (sınırını) zorlamak,1) en son noktaya kadar çaba göstermek; 2) bütün gücünü en son noktaya kadar kullanmak:<i> 'Hayatı boyunca akıl sınırlarını zorlayan bir korkusuzluğa sahip olacaktı.' -</i>A. Kulin.,sınır,Deyim,4
(bir şeyin) telaşına dalmak,"herhangi bir şeyle ilgili olarak heyecanla, aceleyle, sıkıntıyla davranmak:<i> 'Karısı akşam telaşına dalmış, çardağın etrafında dolanıp duruyordu.' -</i>N. Cumalı.",telaş,Deyim,4
(bir şeyin) üstüne bir bardak (soğuk) su içmek,"<i> alay</i> o işten umudunu kesmek, o işin olacağına inanmamak, o işten vazgeçmek.",üst,Deyim,4
(bir şeyin) üstüne gelmek,bir şey yapılırken veya konuşulurken çıkagelmek.,üst,Deyim,4
(bir şeyin) üstüne kapanmak,belli bir işi aralıksız bir biçimde yapmak:<i> 'Nevin tercüme etmeye hazırlandığı romanın üstüne kapandı.' -</i>S. F. Abasıyanık.,üst,Deyim,4
(bir şeyin) üstüne yatmak,"hakkı yokken bir şeyi kendine mal etmek, bir şeyi alıp vermemek:<i> 'Bunlar eşeğin büsbütün üstüne mi yatmak istiyorlar?' -</i>M. Ş. Esendal.",üst,Deyim,4
(bir şeyin) üzerine bir bardak (soğuk) su içmek,<i> alay</i> üstüne bir bardak su içmek.,üzerine,Deyim,4
(bir şeyin) üzerine üzerine gitmek,üstüne üstüne gitmek.,üzerine,Deyim,4
(bir şeyin) yanından bile geçmemiş,'o şeyle hiçbir ilgisi yok' anlamında kullanılan bir söz.,yan,Deyim,3
(bir şeyin) yerini tutmak,"1) bulunmayan bir nesnenin yerini almak, onu aratmamak:<i> 'Hiçbir kahvaltı simitle çayın yerini tutamaz.' -</i>S. F. Abasıyanık. 2) görevinden ayrılan birinin yaptığı işi yapabilmek.",yer,Deyim,4
(bir şeyin) yolunu tutmak,"benimsemek, gereğini yerine getirmek:<i> 'Sen de biraz adamlığın yolunu tutmalısın.' -</i>R. N. Güntekin.",yol,Deyim,4
(bir şeyin) yüzü açılmak,"güzelliği, parlaklığı ortaya çıkmak.",yüz(II),Deyim,4
(bir şeyin) yüzüne hasret kalmak,"o şeyden yoksun kalmak, hasret kalmak:<i> 'Burada yağdan yumurtadan geçtik, ekmek yüzüne hasret kaldık.' -</i>M. Ş. Esendal.",yüz(II),Deyim,8
(bir şeyin) zamanı geçmek,1) o şey artık gerekli ve yerinde olmaktan çıkmak; 2) mevsimi geçmek.,zaman,Deyim,4
(bir şeyin) zevkini çıkarmak,ondan olabildiği kadar zevk almak.,zevk,Deyim,7
(bir şeyle) arası hoş (iyi) olmamak,o şeyden hoşlanmamak.,ara,Deyim,4
(bir şeyle) başa çıkmak,bir şeye gücü yetmek:<i> 'Varsın kıraç olsun tarlam / Taşlarını ayıklayacağım / Kazmayı sallayacağım / Karar vermişim / Toprakla başa çıkacağım' -</i>O. V. Kanık.,baş(I),Deyim,4
(bir şeyle) başı hoş olmamak,"bir şeyden hoşlanmamak:<i> 'Benim içki ile başım hoş olmadı, şampanyadan sonra ha bire yedim durdum.' -</i>B. Felek.",baş(I),Deyim,4
"bir şeyler, bir şeyler","daha fazla açıklamamak, kısa kesmek gerektiğinde söylenen bir söz.",bir,Deyim,4
bir tahtası eksik,"<i> tkz.</i> akılca eksik, yarım akıllı.",bir,Deyim,4
bir tarafa bırakmak (koymak),"önemsememek, benimsememek, ertelemek.",bir,Deyim,4
bir tarakta bezi olmamak,"sözü edilen konu ile ilgisi olmamak, bilgisi bulunmamak.",bir,Deyim,4
bir taşla iki kuş vurmak,bir davranışla birden çok yararlı sonuca ulaşmak.,bir,Deyim,9
"bir tat, bin feryat","mutluluktan çok, sıkıntısı olan:<i> 'O zamana kadar kira köşelerinde sürünmekten bir tat, bin feryat, türlü sıkıntılara giriftar olmuşken...' -</i>H. Z. Uşaklıgil.",bir,Deyim,4
bir tek atmak,"bir kadeh içki içmek:<i> 'Canım şurada bir tek atalım, serinleriz, konuşuruz, dediler.' -</i>R. H. Karay.",bir,Deyim,4
"bir tepe yıkılır, bir dere dolar","dünyada hiçbir şey kaybolmaz; birinin kaybettiğini başkası kazanır, bir zengin fakirleşirken bir fakir de zenginleşebilir.","yıkılmak, dolmak",Atasözü,4
bir torba kemik,çok zayıf.,bir,Deyim,9
bir tutam ot deveye hendek atlatır,ufak bir para veya iyilik insana güç işler yaptırır.,"ot, atlatmak",Atasözü,4
bir tutmak (görmek),"eşit saymak, eşit görmek.",bir,Deyim,4
bir uyuz keçi bir sürüyü boklar,"kötü yaradılışlı, kötü huylu kişi, çevresine hep kötülük aşılar, bir toplulukta huzursuzluk çıkmasına sebep olur.",boklamak,Atasözü,4
bir varmış bir yokmuş,"masal gibi geçip gitmiş, artık hayal olmuş.",,Atasözü,4
bir vuruşla ağaç devrilmez,"olumlu bir sonuç elde etmek için, tek bir girişimle yetinmemeli, o işe devam edilmelidir.",devrilmek,Atasözü,4
bir yakadan baş çıkarmak,bir çatı altında dirlik düzenlik içinde yaşamak.,bir,Deyim,4
bir yastığa baş koymak,evli bulunmak.,bir,Deyim,4
bir yaşına daha girmek,"şimdiye değin görmediği şaşılacak yeni bir şeyle karşılaşmak:<i> 'Ah anacığım bir yaşıma daha girdim, dünyada her şey aklıma gelirdi de tefle ayı oynatmak gelmezdi.' -</i>O. C. Kaygılı.",bir,Deyim,4
"bir yemem diyenden kork, bir oturmam diyenden","oturmayacağını belirten konuk yatıya kalır, yemeyeceğini söyleyen de bir türlü doyurulamaz.","yemek, demek, korkmak, oturmak",Atasözü,4
(bir yer) adam almamak,son derece kalabalık olmak.,adam,Deyim,1
(bir yer) ayağının (ayaklar) altında,yüksek bir yerden geniş bir alanı görür durumda.,ayak,Deyim,4
(bir yer bir olaya) sahne olmak,bir yerde bir olay geçmek.,sahne,Deyim,4
"(bir yer, birine) açık olmak",bir yerde her zaman iyi karşılanmak.,açık,Deyim,1
(bir yer) güneş almak (görmek),güneş ışınlarıyla aydınlanacak durumda olmak:<i> 'O ev güneş görmüyor. Soba yanmazsa her şey nemleniyor.' -</i>A. Ümit.,güneş,Deyim,7
"(bir yer, işte) yabancılık çekmek",bir iş veya çevrede yabancı olmaktan doğan güçlüklere uğramak.,yabancılık,Deyim,4
(bir yer) karınca yuvası gibi kaynamak,çok kalabalık ve hareketli olmak.,karınca yuvası,Deyim,9
(bir yer) kazan (biri) kepçe,"'bir yeri etraflıca (dolaşmak, aramak)' anlamında kullanılan bir söz:<i> İstanbul kazan ben kepçe, üç gün onu aradım.</i>",kazan,Deyim,3
(bir yer) mahşere dönmek,çok kalabalıklaşmak.,mahşer,Deyim,9
(bir yer) örümcek bağlamak,1) üzerinde örümcek ağı olmak; 2)<i> mec.</i> bir şey uzun süre kullanılmadan kendi hâline bırakılmış olmak.,örümcek,Deyim,1
(bir yer) pazar yerine dönmek,kalabalıklaşmak.,pazar yeri,Deyim,4
(bir yer) zindan kesilmek,1) çok karanlık duruma gelmek; 2) çok sıkıcı ve içinde yaşanmaz duruma gelmek:<i> 'Lakin bir gün öyle bir şey olmuştu ki Özbekiye Bahçesi gözümde âdeta zindan kesildiydi.' -</i>Y. K. Karaosmanoğlu.,zindan,Deyim,9
(bir yer) zindan olmak,"yaşanmaz, huzursuz, rahatsız, zevk alınmaz duruma gelmek:<i> Evi ona zindan oldu.</i>",zindan,Deyim,1
(bir yerde) cinler cirit (top) oynamak,o yer ıssız olmak:<i> 'Şimdi koca çiftliğin yirmi odasında cinler top oynuyor.' -</i>S. F. Abasıyanık.,cin(I),Deyim,8
(bir yerde) cirit atmak,"bir yerde çokça bulunmak, sık dolaşmak ve serbestçe davranmak:<i> Fareler evde cirit atıyor.</i>",cirit,Deyim,4
(bir yerde) ecinniler top oynuyor,"'bomboş, kimse yok, ıssız ve sessiz' anlamında kullanılan bir söz.",ecinni,Deyim,3
(bir yerde) gözünü açmak,o yerde olduğunun farkına varmak.,göz,Deyim,4
(bir yerde) hazır bulunmak (olmak),"1) bir yerde var olmak, kendi bulunmak; 2) bir şeyi hemen yapabilecek durumda olmak.",hazır,Deyim,1
(bir yerde) içecek suyu olmak,o yere gitmesi kısmet olmak.,içmek,Deyim,1
(bir yerde) ikamete memur edilmek,<i> esk.</i> sürgün cezası verilmek.,ikamet,Deyim,4
(bir yerden) ayağını çekmek,"sık sık gittiği bir yere artık uğramaz olmak, ilgiyi kesmek.",ayak,Deyim,4
(bir yerden) ayağını kesmek,"1) bir yere gitmez olmak, uğramamak; 2) başkasını bir yere artık uğramaz duruma getirmek.",ayak,Deyim,4
"(bir yerden, bir şeyden) elini ayağını (eteğini) kesmek (çekmek)","1) uğramaz olmak; 2) uğraşmamak, ilgilenmemek:<i> 'Ben artık öyle şeylerden elimi ayağımı çektim.' -</i>O. C. Kaygılı. 3) o şeyle ilgisini kesmek:<i> 'Odasına kapandı, aylarca dünyadan elini eteğini çekti.' -</i>R. H. Karay.",el(I),Deyim,4
(bir yerden) kendini dar atmak,"güçlükle ve ivedi olarak bir yere sığınmak, kaçmak:<i> 'Zavallı ihtiyarlar, sabah oldu mu bir yangından kaçar gibi kendilerini evden dar atıyorlar, gece yarısına kadar kahvede oturuyorlar, kavga ediyorlar, uyukluyorlardı.' -</i>R. N. Güntekin.",kendi,Deyim,4
(bir yerden) payandaları çözmek,"<i> argo</i> ayrılmak, kaçmak, uzaklaşmak.",payanda,Deyim,4
(bir yere) abayı sermek,1) istenilmediği hâlde teklifsizce yerleşmek; 2) uzun süre yerleşip kalmak.,aba(II),Deyim,4
(bir yere) adım (adımını) atmamak,"gitmemek, uğramamak:<i> 'Faik Bey artık konağa adımını atmıyor, artık ne Servet Bey'e hatta ne de Cemal'e görünüyordu.' -</i>Y. K. Karaosmanoğlu.",adım,Deyim,8
(bir yere) ayağı alışmak,"bir yere sürekli gitmek:<i> 'Ayağı buraya alışmasın, sonra yabancı misafirler varken de gelir, beni rezil eder.' -</i>P. Safa.",ayak,Deyim,4
(bir yere) ayağı düşmek,yolu düşmek.,ayak,Deyim,4
(bir yere) ayak atmamak,"bir yere hiç gitmemek, uğramamak.",ayak,Deyim,4
(bir yere) baş tutmak,elebaşı olmak.,baş(I),Deyim,1
(bir yere) başını sokmak,"barınacak bir yer bulmak:<i> 'Çok şükür başımızı bir yere soktuk, şimdilik tatlı söyleyelim tatlı yiyelim.' -</i>Z. Selimoğlu.",baş(I),Deyim,4
(bir yere) kakılıp kalmak,"beklemek zorunda kalmak, hiçbir yere gidememek:<i> 'Dedeye -yeni şakirdiniz efendim- diyerek çekilip gidince kız odanın ortasında kakılıp kaldı.' -</i>H. E. Adıvar.",kakılmak,Deyim,8
(bir yere) kapağı atmak,"sıkıntısız, rahat bir yere sığınmak, kaçıp kurtulmak:<i> 'Garajlara en yakın bir otele kapağı atmış, hemen yatıp uyumuştu.' -</i>E. Bener.",kapak,Deyim,4
(bir yere) kendini atmak,vakit geçirmeden hemen gitmek.,kendi,Deyim,4
(bir yere) para akmak,"yatırım yapılmak:<i> 'Yeteneksiz, hırslı mahalle politikacıları, kendi şehirlerine para aksın diye üniversite açma ticaretine girdiler.' -</i>A. Boysan.",para,Deyim,8
(bir yere) parmak basmak,"1) imza yerine parmağını mürekkebe batırarak bir yere bastırmak:<i> 'Ben bu dileğin altına bilmem kaç kuruşluk pul yapıştırtıp, binlerce yurttaşa parmak bastırtıp yirmi metre uzunluğunda bir dilek kâğıdı olarak size sunabilirdim.' -</i>N. Hikmet. 2)<i> mec.</i> bir konu üzerine dikkati, ilgiyi çekmek:<i> 'Bu arada benim öteden beri gözüme çarpan bir noktaya şimdi parmak basacağım.' -</i>B. Felek.",parmak,Deyim,4
